arrojó un ch[1] de té,squirted/spewed a stream/jet of tea<br>---<br>1 - chorro,,,,,,Spanish,English
"Tenaza pequeña de muelle, que sirve para coger t[1] de azúcar, dulces y otras cosas.","Small spring-loaded tongs, used to pick up sugar cubes, sweets and other things.<br>---<br>1 - terrones",,,,definición de tenacillas,,Spanish,English
aferrado a algo,attached to sth.,,,,perhaps also stubborn,,Spanish,English
A nuestra madre la saca de q[1].,It drives our mother crazy.<br>---<br>1 - quicio,,,,,,Spanish,English
una gran pocilga de piedra,a large stone pigsty,,,,,,Spanish,English
se amil[1] cuando ella descargó su ira sobre ellos,they were intimidated/frightened when she unleashed her wrath on them<br>---<br>1 - amilanaron,,,amilanar,,,Spanish,English
En la película un genio salía de la lámpara mágica al [1]la.,In the movie a genie came out of the magic lamp when it was rubbed.<br>---<br>1 - restregarla = to rub,,,,,,Spanish,English
la re[1] de la chimenea,the mantelpiece<br>---<br>1 - repisa,,,,,,Spanish,English
un experto en repostería,a pastry/confectionary expert,,,,,,Spanish,English
"—¡Cállate tú también! —atajó la señora Weasley, pero cuando se puso a cortar unas rebanadas de pan para Harry y a [1]las con mantequilla, la expresión se le enterneció.","-You shut up, too,"" Mrs. Weasley snapped, but as she cut slices of bread for Harry and buttered them, her expression softened.<br>---<br>1 - untarlas",,,atajo = shortcut!,enternecer from ternura,,Spanish,English
rev[1] un neumático,to burst a tyre<br>---<br>1 - reventar,,,,,,Spanish,English
se están volviendo a desmadrar,they running amok again,,,,,,Spanish,English
dijo con presteza,he said with alacrity/promptness,,,,,,Spanish,English
ojos azules y vivar[1],blue and lively eyes<br>---<br>1 - vivarachos,,,,,,Spanish,English
conocer al d[1],to know it inside out<br>---<br>1 - dededillo,really well,,,,,Spanish,English
una mata de peonías,a peony bush,,,,,,Spanish,English
"Tras un breve forcejeo, logré arrebatarselo.","After a brief struggle, I managed to snatch it from him.",,,arrebatar algo a algn,arrebatar also to captivate,,Spanish,English
Un camión atro[1] a un pe[2] que estaba cruzando la calle mayor.,A truck hit a pedestrian who was crossing the main street.<br>---<br>1 - atropelló<br>2 - peatón,,,,,,Spanish,English
La redada se saldó con varios proxenetas detenidos.,The raid resulted in the arrest of several pimps.,,,,,,Spanish,English
"A Mortlake lo sacaron para interrogarle sobre unos hurones muy raros, pero eso incumbe al Comité de Encantamientos Experimentales, gracias a Dios.","Mortlake was brought in for questioning about some very strange ferrets, but that's a matter for the Experimental Enchantment Committee, thank God.",,,,hurón also unsociable person<br>/snooper,,Spanish,English
—¿Para qué sirve que unas llaves encojan? —preguntó George.,"""What's the point of shrinking keys?"" asked George.",,,,,,Spanish,English
el atizador,the poker (for a fire),,,,,,Spanish,English
the (legal) loophole,la laguna jurídica,,,,,,Spanish,English
titubear,to hesitate/stutter,,,,,,Spanish,English
dos t[1] más de escalera,two more flights of stairs<br>---<br>1 - tramos,,,,,,Spanish,English
con la pintura desc[1],with peeling paint<br>---<br>1 - desconchada,bad,,desconchar = to chip/strip/peel off,,,Spanish,English
la colcha,the bedspread,,"Le pa­re­ció que en­tra­ba en un horno, por­que casi todo en la ha­bi­ta­ción era de co­lor na­ran­ja in­ten­so: la col­cha, las pa­re­des, in­clu­so el te­cho.",,also quilt,,Spanish,English
tras pisar involuntariamente una b[1] de cartas autob[2] que se hallaba esp[3] por el suelo,after unintentionally stepping on a deck of self-shuffling cards that had been scattered on the ground<br>---<br>1 - baraja<br>2 - autobarajables<br>3 - esparcida,,,,,,Spanish,English
