Language, Flag Name, Flag Image Src
Translingual, Earth flag PD, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Earth_flag_PD.jpg/45px-Earth_flag_PD.jpg
English, English language, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/English_language.svg/45px-English_language.svg.png
Abenaki, Flag of Western Abenaki, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Western_Abenaki.svg/45px-Flag_of_Western_Abenaki.svg.png
Abkhaz, Flag of the Republic of Abkhazia, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Republic_of_Abkhazia.svg/45px-Flag_of_the_Republic_of_Abkhazia.svg.png
Acehnese, Flag of Aceh Sultanate, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Aceh_Sultanate.svg/45px-Flag_of_Aceh_Sultanate.svg.png
Adyghe, Flag of Adygea, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Adygea.svg/45px-Flag_of_Adygea.svg.png
Afar, Flag of Djibouti, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/45px-Flag_of_Djibouti.svg.png
Afrikaans, Flag of South Africa (1928–1994), http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_South_Africa_%281928%E2%80%931994%29.svg/45px-Flag_of_South_Africa_%281928%E2%80%931994%29.svg.png
Akan, Flag of Ghana, http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/45px-Flag_of_Ghana.svg.png
Akkala Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Alabama, Flag of the Alabama-Coushatta Tribe of Texas, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Flag_of_the_Alabama-Coushatta_Tribe_of_Texas.svg/45px-Flag_of_the_Alabama-Coushatta_Tribe_of_Texas.svg.png
Albanian, Flag of Albania, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/45px-Flag_of_Albania.svg.png
